Column 01,Column 02,Column 03,Column 04,Column 05,Column 06,Column 07
20,-91.2846,44.54429,hunting,recovery and health,community space / recreation,community space / recreation
20,-91.2803,44.54441,hunting,recovery and health,community space / recreation,community space / recreation
23,-91.8376,44.82346,hunting,recovery and health,community space / recreation,community space / recreation
130,-89.287,43.02916,ice rink,recovery and health,community space / recreation,community space / recreation
130,-89.4866,43.04846,ice rink,recovery and health,community space / recreation,community space / recreation
40,-89.4584,43.01161,icombat,,,
7,-89.3936,43.04847,improv practice space workshops,public community spaces,community space / recreation,community space / recreation
270,-86.2369,39.78746,indie 500,,public drinking space,public drinking space
222,-89.4344,43.0731,infinite vapor,,errands,errands
179,-89.3553,43.11507,insurance agent,public community spaces,errands,errands
234,-89.3902,43.07536,interstate plasma,,public drinking space,public drinking space
248,-89.3698,43.08523,jiffy lube,,errands,errands
66,-89.361,43.11344,job center,public community spaces,community space / recreation,community space / recreation
150,-89.361,43.11344,job center,public community spaces,community space / recreation,community space / recreation
204,-89.361,43.11344,job center,public community spaces,community space / recreation,community space / recreation
32,-89.361,43.11344,job center + other services,public community spaces,community space / recreation,community space / recreation
52,-89.4808,43.04872,journey,,recovery and health,recovery and health
58,-80.7566,32.18522,kayak,public community spaces,community space / recreation,community space / recreation
214,-89.5459,43.0431,kid’s school,public community spaces,errands,errands
225,-89.3324,43.21737,kid’s school,public community spaces,errands,errands
265,-89.2966,43.09471,kid’s school,public community spaces,errands,errands
245,-89.3501,43.12757,kids camp,public community spaces,errands,errands
187,-89.4727,43.07944,kids grandmas house,others' home,,others' home
187,-89.4979,43.05709,kids martial arts,public community spaces,errands,errands
40,-89.2059,43.09729,kids school,public community spaces,errands,errands
40,-89.2219,43.09096,kids school,public community spaces,errands,errands
40,-89.3234,43.07182,kids school,public community spaces,errands,errands
94,-89.0372,42.5137,kids school,public community spaces,errands,errands
187,-89.4892,43.02452,kids school,public community spaces,errands,errands
119,-90.6472,42.986,kids sports game,public community spaces,errands,errands
262,-89.3969,43.06935,kohl center,public community spaces,public drinking space,public drinking space
92,-88.7826,44.19063,lake / river / boating,public community spaces,community space / recreation,community space / recreation
179,-89.4265,43.03454,landlord office,public community spaces,errands,errands
23,-89.3969,43.06935,"large venue, concerts / sporting",public community spaces,public drinking space,public drinking space
79,-89.5012,43.0543,laser tag,,community space / recreation,community space / recreation
169,-89.3265,43.0711,lashes,,errands,errands
66,-89.2966,43.10583,laundromat,errands,,errands
76,-89.2995,43.01324,laundromat,errands,,errands
212,-89.3819,43.07374,lawyer,public community spaces,errands,errands
215,-88.8372,43.45437,lawyer,public community spaces,errands,errands
215,-89.3853,43.07613,lawyer,public community spaces,errands,errands
264,-89.4067,43.0322,lawyer,public community spaces,errands,errands
167,-89.3835,43.05621,leasing office,public community spaces,errands,errands
7,-89.4503,43.05387,library,public community spaces,community space / recreation,community space / recreation
11,-89.3873,43.07346,library,public community spaces,community space / recreation,community space / recreation
11,-89.4013,43.07676,library,public community spaces,community space / recreation,community space / recreation
11,-89.3993,43.07459,library,public community spaces,community space / recreation,community space / recreation
19,-88.4577,44.185,library,public community spaces,community space / recreation,community space / recreation
27,-89.0175,43.00288,library,public community spaces,community space / recreation,community space / recreation
30,-89.3462,43.10159,library,public community spaces,community space / recreation,community space / recreation
32,-89.3873,43.07346,library,public community spaces,community space / recreation,community space / recreation
32,-89.3945,43.0415,library,public community spaces,community space / recreation,community space / recreation
39,-89.3873,43.07346,library,public community spaces,community space / recreation,community space / recreation
47,-89.4152,43.06593,library,public community spaces,community space / recreation,community space / recreation
47,-89.3873,43.07346,library,public community spaces,community space / recreation,community space / recreation
48,-89.3462,43.10159,library,public community spaces,community space / recreation,community space / recreation
52,-89.363,43.12769,library,public community spaces,community space / recreation,community space / recreation
52,-89.3462,43.10159,library,public community spaces,community space / recreation,community space / recreation
54,-89.5338,42.85824,library,public community spaces,community space / recreation,community space / recreation
58,-89.5093,43.09498,library,public community spaces,community space / recreation,community space / recreation
74,-89.342,43.24702,library,public community spaces,community space / recreation,community space / recreation
76,-89.2881,43.01356,library,public community spaces,community space / recreation,community space / recreation
76,-89.3993,43.07459,library,public community spaces,community space / recreation,community space / recreation
77,-89.324,43.08448,library,public community spaces,community space / recreation,community space / recreation
82,-89.3873,43.07346,library,public community spaces,community space / recreation,community space / recreation
84,-89.363,43.12769,library,public community spaces,community space / recreation,community space / recreation
85,-89.3815,42.92597,library,public community spaces,community space / recreation,community space / recreation
97,-89.4628,43.53848,library,public community spaces,community space / recreation,community space / recreation
103,-89.2182,42.91649,library,public community spaces,community space / recreation,community space / recreation
104,-89.3462,43.10159,library,public community spaces,community space / recreation,community space / recreation
117,-87.2788,45.05147,library,public community spaces,community space / recreation,community space / recreation
121,-89.3873,43.07346,library,public community spaces,community space / recreation,community space / recreation
121,-89.3462,43.10159,library,public community spaces,community space / recreation,community space / recreation
136,-89.5289,42.99615,library,public community spaces,community space / recreation,community space / recreation
138,-89.4134,43.07611,library,public community spaces,community space / recreation,community space / recreation
139,-89.3873,43.07346,library,public community spaces,community space / recreation,community space / recreation
139,-89.3945,43.0415,library,public community spaces,community space / recreation,community space / recreation
156,-89.3945,43.0415,library,public community spaces,community space / recreation,community space / recreation
158,-89.3873,43.07346,library,public community spaces,community space / recreation,community space / recreation
161,-89.019,42.67913,library,public community spaces,community space / recreation,community space / recreation
166,-89.0757,43.05451,library,public community spaces,community space / recreation,community space / recreation
171,-89.3228,43.08331,library,public community spaces,community space / recreation,community space / recreation
172,-89.3462,43.10159,library,public community spaces,community space / recreation,community space / recreation
178,-89.3462,43.10159,library,public community spaces,community space / recreation,community space / recreation
181,-89.3873,43.07346,library,public community spaces,community space / recreation,community space / recreation
187,-89.3622,43.12767,library,public community spaces,community space / recreation,community space / recreation
196,-89.3873,43.07346,library,public community spaces,community space / recreation,community space / recreation
196,-89.3462,43.10159,library,public community spaces,community space / recreation,community space / recreation
203,-89.363,43.12769,library,public community spaces,community space / recreation,community space / recreation
207,-89.4013,43.07676,library,public community spaces,community space / recreation,community space / recreation
222,-89.2182,42.91649,library,public community spaces,community space / recreation,community space / recreation
222,-89.4791,43.03246,library,public community spaces,community space / recreation,community space / recreation
225,-89.2356,43.17565,library,public community spaces,community space / recreation,community space / recreation
225,-89.2182,42.91649,library,public community spaces,community space / recreation,community space / recreation
225,-89.2881,43.01356,library,public community spaces,community space / recreation,community space / recreation
234,-89.3945,43.0415,library,public community spaces,community space / recreation,community space / recreation
240,-89.3993,43.07459,library,public community spaces,community space / recreation,community space / recreation
252,-89.3945,43.0415,library,public community spaces,community space / recreation,community space / recreation
6,-89.4092,43.07308,library cafe & bar,public community spaces,public drinking space,public drinking space
138,-77.0047,38.89051,library mall,public community spaces,community space / recreation,community space / recreation
166,-89.0692,43.05783,lion’s meeting,,,
2,-89.3526,43.11112,little league field,,community space / recreation,community space / recreation
191,-89.8058,44.20186,lodge,temporary residence,,temporary residence
213,-89.2116,43.18037,looking at car,public community spaces,errands,errands
213,-89.2115,43.1804,looking at car,public community spaces,errands,errands
23,-89.7004,42.92956,looking at real estate,public community spaces,errands,errands
11,-89.3061,43.12442,mall,errands,,errands
19,-88.4701,44.2697,mall,errands,,errands
25,-93.2912,44.744,mall,errands,,errands
38,-88.2127,41.75845,mall,errands,,errands
66,-89.3061,43.12442,mall,errands,,errands
66,-89.3057,43.12515,mall,errands,,errands
82,-89.3061,43.12438,mall,errands,,errands
131,-89.3049,43.12677,mall,errands,,errands
197,-88.0369,42.04643,mall,errands,,errands
200,-89.5056,43.05698,mall,errands,,errands
25,-93.244,44.85372,mall of america,errands,,errands
179,-93.2429,44.85346,mall of america,errands,,errands
207,-89.4054,43.07299,meditation,recovery and health,,recovery and health
212,-89.3971,43.0543,meditation center,recovery and health,,recovery and health
121,-89.3589,43.09109,meditation space - weekly,recovery and health,,recovery and health
66,-89.3953,43.04064,meet with social worker office,public community spaces,recovery and health,recovery and health
39,-89.4019,43.06604,meeting to get ride home,travel stop,,travel stop
6,-89.4,43.07626,memorial union terrace,public community spaces,public drinking space,public drinking space
243,-87.9712,43.02798,miller park,public community spaces,public drinking space,public drinking space
130,-93.2283,44.87399,mineappolis airport,airport,,airport
189,-89.329,43.16548,mint julep motors,public community spaces,errands,errands
58,-89.5043,43.09722,mom’s group - blackhawk church,public community spaces,community space / recreation,community space / recreation
27,-88.5804,42.57097,mom’s volunteer site,public community spaces,errands,errands
196,-89.3924,43.06778,mom’s work,public community spaces,errands,errands
213,-89.4508,43.18997,mom’s work,public community spaces,errands,errands
1,-89.3421,43.06379,monona library,public community spaces,community space / recreation,community space / recreation
44,-87.9173,43.11634,motel,temporary residence,,temporary residence
77,-89.3134,43.12256,motel,temporary residence,,temporary residence
180,-82.1015,26.42776,motel,temporary residence,,temporary residence
48,-89.2988,43.10745,mother of girlfriend,,,
109,-89.5195,43.05795,movie theater,public community spaces,community space / recreation,community space / recreation
269,-89.4665,43.01423,movie theater,public community spaces,community space / recreation,community space / recreation
6,-89.2711,43.16903,movie theatre,public community spaces,community space / recreation,community space / recreation
18,-89.5195,43.05795,movie theatre,public community spaces,community space / recreation,community space / recreation
37,-89.5195,43.05795,movie theatre,public community spaces,community space / recreation,community space / recreation
37,-88.5811,44.01575,movie theatre,public community spaces,community space / recreation,community space / recreation
172,-89.453,43.07184,movie theatre,public community spaces,community space / recreation,community space / recreation
204,-89.5195,43.05795,movie theatre,public community spaces,community space / recreation,community space / recreation
231,-89.2727,43.16984,movie theatre,public community spaces,community space / recreation,community space / recreation
42,-89.2727,43.16984,movies,public community spaces,community space / recreation,community space / recreation
44,-89.5195,43.05795,movies,public community spaces,community space / recreation,community space / recreation
74,-89.2727,43.16984,movies,public community spaces,community space / recreation,community space / recreation
136,-89.5195,43.05795,movies,public community spaces,community space / recreation,community space / recreation
172,-89.4936,43.05624,movies,public community spaces,community space / recreation,community space / recreation
179,-89.4665,43.01423,movies,public community spaces,community space / recreation,community space / recreation
183,-84.6474,38.99332,movies,public community spaces,community space / recreation,community space / recreation
189,-89.4665,43.01423,movies,public community spaces,community space / recreation,community space / recreation
191,-89.4665,43.01423,movies,public community spaces,community space / recreation,community space / recreation
207,-89.453,43.07334,movies,public community spaces,community space / recreation,community space / recreation
208,-89.2727,43.16984,movies,public community spaces,community space / recreation,community space / recreation
234,-89.5195,43.05795,movies,public community spaces,community space / recreation,community space / recreation
40,-88.0544,44.4818,museum,public community spaces,community space / recreation,community space / recreation
234,-87.9212,43.04066,museum,public community spaces,community space / recreation,community space / recreation
248,-93.0988,44.94249,museum,public community spaces,community space / recreation,community space / recreation
262,-77.026,38.8917,museum,public community spaces,community space / recreation,community space / recreation
262,-77.0199,38.88816,museum,public community spaces,community space / recreation,community space / recreation
6,-87.7946,41.86516,music fest,public community spaces,public drinking space,public drinking space
138,-89.3701,43.0795,music venue,public community spaces,public drinking space,public drinking space
211,-89.3747,43.08089,music venue,public community spaces,public drinking space,public drinking space
248,-89.3809,43.07438,music venue,public community spaces,public drinking space,public drinking space
248,-89.3764,43.07979,music venue,public community spaces,public drinking space,public drinking space
213,-89.375,43.0767,music venue/club,public community spaces,public drinking space,public drinking space
204,-89.3585,43.11291,n transfer point,travel stop,,travel stop
80,-89.5127,43.05998,nail,errands,,errands
81,-89.4377,42.70758,nail salon,errands,,errands
109,-89.511,43.06128,nail salon,errands,,errands
163,-89.429,43.01606,nail salon,errands,,errands
66,-89.2284,43.18181,nail spa,errands,,errands
163,-89.467,42.92887,neighbor,,others' home,others' home
180,-89.4929,43.10968,neighbors,,others' home,others' home
166,-89.6145,44.9745,nursing home,recovery and health,errands,errands
269,-90.4012,43.33517,nursing home,recovery and health,errands,errands
130,-87.8409,41.98315,o’hare airport,airport,,airport
179,-89.4471,43.07434,office,work,errands,errands
79,-89.4033,43.13167,old housing,others' home,,others' home
116,-89.7224,43.27023,on the river,public community spaces,community space / recreation,community space / recreation
33,-89.2173,42.91654,opera house,public community spaces,community space / recreation,community space / recreation
48,-89.3731,43.08338,outdoor event,public community spaces,community space / recreation,community space / recreation
252,-89.3883,43.07459,overture,public community spaces,community space / recreation,community space / recreation
18,-89.3883,43.07459,overture center,public community spaces,community space / recreation,community space / recreation
40,-89.3883,43.07459,overture center,public community spaces,community space / recreation,community space / recreation
43,-89.3959,43.03878,p.o.,,errands,errands
52,-89.3558,43.03992,p.o.,,errands,errands
209,-89.2279,43.18116,p.o.,,errands,errands
215,-89.3959,43.03878,p.o.,,errands,errands
88,-88.0611,44.50117,packer game,,public drinking space,public drinking space
64,-89.4004,43.06344,pantry,public community spaces,community space / recreation,community space / recreation
64,-89.3941,43.04498,pantry,public community spaces,community space / recreation,community space / recreation
64,-89.3858,43.07698,pantry,public community spaces,community space / recreation,community space / recreation
21,-89.3051,43.04752,park & ride,public community spaces,travel stop,travel stop
76,-89.4016,43.06713,parking,travel stop,,travel stop
230,-87.9874,42.94413,parking lot to pick up car,travel stop,,travel stop
214,-89.4122,43.07213,parking ramp,travel stop,,travel stop
214,-89.3981,43.07254,parking ramp,travel stop,,travel stop
224,-89.3966,43.07232,parking ramp,travel stop,,travel stop
234,-87.9198,43.03783,parking ramp,travel stop,,travel stop
175,-89.4614,43.07361,partner’s work,,errands,errands
191,-89.7864,44.19977,partners property,others' home,,others' home
191,-89.7872,44.1999,partners property,others' home,,others' home
191,-89.8352,44.22009,partners property,others' home,,others' home
211,-89.3261,43.0539,pet clinic,errands,,errands
131,-89.5012,43.0543,pet store,errands,,errands
76,-89.368,42.91616,pet vet,errands,,errands
197,-89.3999,43.06701,pharmacy,recovery and health,,recovery and health
269,-89.498,43.01369,pick n save,errands,,errands
34,-89.3955,43.07358,piercing lounge,,,
224,-89.0754,43.05382,pistol range,,community space / recreation,community space / recreation
192,-89.512,43.10549,plant store,errands,,errands
175,-89.4555,43.03315,plasma donation,public community spaces,community space / recreation,community space / recreation
263,-89.3902,43.07536,plasma donation,public community spaces,community space / recreation,community space / recreation
92,-89.4555,43.03315,plasma donation center,public community spaces,community space / recreation,community space / recreation
183,-89.395,43.07343,police ride along,,,
252,-89.4432,43.061,police station,public community spaces,community space / recreation,community space / recreation
214,-89.5322,43.04719,pond - walking path,public community spaces,community space / recreation,community space / recreation
56,-89.3786,43.05115,pool,public community spaces,community space / recreation,community space / recreation
163,-89.3822,42.92733,pool,public community spaces,community space / recreation,community space / recreation
163,-82.711,27.71529,pool,public community spaces,community space / recreation,community space / recreation
224,-89.4414,43.07646,pool,public community spaces,community space / recreation,community space / recreation
255,-89.4781,43.0099,primary vet,errands,,errands
81,-90.1049,41.9697,prison (boyfriend visit),public community spaces,community space / recreation,community space / recreation
240,-89.4061,43.06811,property manager office,public community spaces,errands,errands
259,-90.1984,43.19132,pumpkin patch,public community spaces,community space / recreation,community space / recreation
213,-89.3686,43.07921,puppysitter,errands,,errands
166,-91.1028,43.90199,race,public community spaces,community space / recreation,community space / recreation
252,-89.0754,43.05382,range,public community spaces,community space / recreation,community space / recreation
66,-89.3243,43.12007,reg drug test (clinic),public community spaces,recovery and health,recovery and health
66,-89.4038,43.13118,rehab,,recovery and health,recovery and health
18,-89.2819,43.08716,rehab - family member,others' home,,others' home
18,-89.283,43.08807,rehab - family member,others' home,,others' home
39,-89.4611,43.53906,reiki,,recovery and health,recovery and health
43,-89.2958,43.05823,reintegration counseling,public community spaces,recovery and health,recovery and health
97,-89.4783,43.55868,rent payment,public community spaces,errands,errands
180,-81.788,26.53592,rental car,errands,errands,errands
189,-89.3378,43.21807,replacement car,errands,errands,errands
11,-89.4836,43.05424,research study,,,
44,-155.879,19.9155,resort,public community spaces,temporary residence,temporary residence
241,-87.2988,45.04107,resort,public community spaces,temporary residence,temporary residence
212,-90.3715,43.33322,roller rink,recovery and health,community space / recreation,community space / recreation
48,-89.3441,43.09694,s.o. house,,others' home,others' home
2,-89.3126,43.12241,salon,errands,,errands
37,-89.3988,43.07287,salon,errands,,errands
81,-89.4377,42.70757,salon,errands,,errands
103,-89.2703,43.16808,salon,errands,,errands
130,-89.3553,43.09249,salon,errands,,errands
166,-89.4811,43.0149,salon,errands,,errands
221,-90.7185,42.49027,salon,errands,,errands
188,-89.5122,43.05928,salon supply store,errands,,errands
31,-89.4181,43.17636,school,school,,school
31,-89.4219,43.15555,school,school,,school
214,-89.5552,43.01328,scout meetings at a church does not attend service,public community spaces,community space / recreation,community space / recreation
255,-89.4003,43.06129,secondary vet,errands,,errands
137,-89.3667,43.08226,services,public community spaces,errands,errands
137,-89.3935,43.04593,services,public community spaces,errands,errands
51,-89.3646,43.09959,shelter,public community spaces,community space / recreation,community space / recreation
189,-89.4159,43.06548,shop,errands,,errands
193,-77.3965,38.85419,shopping mall,errands,,errands
242,-89.3579,43.09405,sig others dads apt,others' home,,others' home
79,-89.458,43.0399,sober living interview,recovery and health,,recovery and health
156,-89.4014,43.04242,sober living meet up,recovery and health,,recovery and health
32,-89.3489,43.12631,social service - help w/ disability app,public community spaces,recovery and health,recovery and health
150,-89.5203,43.0617,son guitar lessons,public community spaces,errands,errands
197,-89.4068,43.03063,son’s guitar lessons,public community spaces,errands,errands
187,-89.4982,43.0563,son’s ju-jitsu class,public community spaces,errands,errands
33,-89.2174,42.92,son’s school,public community spaces,errands,errands
33,-89.2351,42.92364,son’s school,public community spaces,errands,errands
66,-89.2541,43.1652,son’s school,public community spaces,errands,errands
27,-88.5427,42.69367,son’s work - cousins subs,public community spaces,errands,errands
205,-88.7116,43.18754,sons boarding school,public community spaces,errands,errands
245,-89.2773,43.02611,sons education,public community spaces,errands,errands
245,-89.2943,42.91873,sons horseback riding,public community spaces,errands,errands
224,-89.496,43.0614,spa,errands,recovery and health,recovery and health
252,-89.4908,43.05384,spa,errands,recovery and health,recovery and health
259,-89.3969,43.06935,sporting events,public community spaces,public drinking space,public drinking space
211,-89.3731,43.08338,sports,public community spaces,community space / recreation,community space / recreation
25,-89.3192,43.06277,sports for son,Public community spaces,errands,errands
222,-89.3952,43.04472,st vinnies,,errands,errands
77,-89.3641,43.12246,st. paul’s pantry,public community spaces,community space / recreation,community space / recreation
10,-89.3841,43.07497,state capitol lawn / farmer’s market,public community spaces,community space / recreation,community space / recreation
28,-89.3588,43.10659,storage unit,public community spaces,errands,errands
262,-89.4102,43.07184,student org club,public community spaces,community space / recreation,community space / recreation
23,-89.4061,43.07256,study,public community spaces,community space / recreation,community space / recreation
166,-89.3753,42.91861,stylist,,errands,errands
166,-81.2254,27.93665,swamp tours,public community spaces,community space / recreation,community space / recreation
58,-89.545,43.03399,swim club,recovery and health,community space / recreation,community space / recreation
161,-88.9741,42.70088,tanning,,errands,errands
180,-89.5094,43.05497,tanning,,errands,errands
218,-89.3888,43.07497,tattoo shop,errands,,errands
221,-90.6645,42.49552,tattoo shop,errands,,errands
51,-88.0306,43.02722,temp home still live at 11 gina ct. mad,temporary residence,,temporary residence
37,-89.4006,43.07639,terrace,public drinking spaces,,public drinking spaces
77,-89.3533,43.12845,the river pantry,public community spaces,community space / recreation,community space / recreation
16,-89.3809,43.07438,theater,public community spaces,community space / recreation,community space / recreation
16,-89.3887,43.07495,theater,public community spaces,community space / recreation,community space / recreation
16,-89.453,43.07184,theater,public community spaces,community space / recreation,community space / recreation
33,-88.8484,42.91418,theater,public community spaces,community space / recreation,community space / recreation
48,-89.2727,43.16984,theater,public community spaces,community space / recreation,community space / recreation
15,-89.2755,43.16683,theatre,public community spaces,community space / recreation,community space / recreation
193,-89.3651,43.0825,theatre,public community spaces,community space / recreation,community space / recreation
236,-89.6078,43.44627,therapist,recovery and health,,recovery and health
33,-89.2519,42.92352,thrift store,errands,,errands
33,-89.2519,42.92352,thrift store,errands,,errands
97,-89.4814,43.54908,thrift store / food pantry,errands,,errands
11,-89.3881,43.07286,tour,,community space / recreation,community space / recreation
11,-89.3822,43.07564,tour,,community space / recreation,community space / recreation
11,-89.381,43.07424,tour,,community space / recreation,community space / recreation
11,-89.3747,43.07571,tour,,community space / recreation,community space / recreation
11,-89.381,43.0751,tour,,community space / recreation,community space / recreation
11,-89.4826,43.06188,tour,,community space / recreation,community space / recreation
81,-89.4312,42.71199,trail to walk dogs,public community spaces,community space / recreation,community space / recreation
86,-87.6317,41.87451,train station,travel stop,,travel stop
86,-87.6686,41.70649,train stop,travel stop,,travel stop
119,-89.5027,43.05868,transfer point,travel stop,,travel stop
119,-89.3223,43.09863,transfer point,travel stop,,travel stop
156,-89.3585,43.11291,transfer point,travel stop,,travel stop
139,-89.3941,43.03935,transfer point (bus),travel stop,,travel stop
189,-89.3029,42.82251,union auto sales,errands,,errands
44,-89.4079,43.07187,union south,public community spaces,community space / recreation,community space / recreation
149,-89.4079,43.07187,union south,public community spaces,community space / recreation,community space / recreation
172,-89.4079,43.07187,union south,public community spaces,community space / recreation,community space / recreation
6,-89.4079,43.07187,union south - uw campus,public community spaces,community space / recreation,community space / recreation
11,-89.4,43.07626,union terrace,public drinking spaces,,public drinking spaces
193,-89.4,43.07626,union terrace,public drinking spaces,,public drinking spaces
240,-89.4,43.07626,union terrace,public drinking spaces,,public drinking spaces
248,-89.4,43.07626,union terrace/music etc,public drinking spaces,,public drinking spaces
241,-89.3618,43.1129,ups store,errands,,errands
252,-89.4087,43.06796,ups store,errands,,errands
222,-89.3032,43.13032,us cellular,errands,,errands
28,-89.5776,46.82898,vacation,,,
43,-97.8842,30.13062,vacation,,,
58,-80.6948,32.19764,vacation,,,
58,-80.6948,32.19748,vacation,,,
163,-82.7818,27.78509,vacation,,,
99,-90.3789,45.73954,vacation cabin,temporary residence,,temporary residence
86,-88.5664,42.5443,vacation home,temporary residence,,temporary residence
31,-81.7292,25.93313,vacation house,temporary residence,,temporary residence
188,-89.8243,44.20862,vacation house,temporary residence,,temporary residence
100,-81.5438,30.33855,vacation location,temporary residence,,temporary residence
201,-89.4344,43.0731,vapor store,errands,,errands
241,-89.3756,43.08213,venue,public community spaces,public drinking space,public drinking space
223,-89.4003,43.06129,vet,errands,,errands
262,-89.368,42.91616,vet,errands,,errands
175,-89.504,43.05068,vet clinic,errands,,errands
196,-89.3253,43.0709,vet office - dog,errands,,errands
234,-89.3456,43.10176,vet. pick up meds,errands,,errands
269,-89.4989,43.01622,video store,errands,,errands
44,-109.617,38.61693,visitor center,public community spaces,community space / recreation,community space / recreation
38,-88.3586,44.21018,volleyball,recovery and health,,community space / recreation
15,-89.323,43.11419,vw dealership,public community spaces,errands,errands
18,-89.4611,43.19275,walgreens,errands,,errands
80,-87.6264,41.88746,walking,public community spaces,community space / recreation,community space / recreation
175,-87.9126,43.03701,walking dog,public community spaces,community space / recreation,community space / recreation
98,-89.7869,43.1688,walking path,public community spaces,community space / recreation,community space / recreation
225,-89.2288,43.17601,water park,public community spaces,community space / recreation,community space / recreation
40,-87.7066,43.74623,water park & resort,public community spaces,community space / recreation,community space / recreation
56,-89.7897,43.61374,waterpark,public community spaces,community space / recreation,community space / recreation
252,-89.7377,42.95063,wedding,public community spaces,public drinking space,public drinking space
56,-87.7593,43.71593,wedding location,public community spaces,public drinking space,public drinking space
119,-89.4764,43.05353,west transfer point,travel stop,,travel stop
204,-89.4755,43.05386,west transfer point,travel stop,,travel stop
204,-89.4764,43.05353,west transfer point,travel stop,,travel stop
44,-89.4,43.07626,wheelhouse crafting,,public drinking space,community space / recreation
76,-89.4019,43.06604,wife’s work,public community spaces,errands,errands
99,-89.4521,43.11552,wife’s work,public community spaces,errands,errands
110,-89.3984,43.0407,wife’s work,public community spaces,errands,errands
110,-89.4229,43.05711,wife’s work,public community spaces,errands,errands
179,-89.5081,42.97291,work,work,,work
98,-89.5045,44.52631,work conference,work,,work
131,-88.0378,43.0327,work meeting,work,,work
270,-88.5357,42.54898,yacht club,public community spaces,community space / recreation,community space / recreation
93,-89.2354,42.34647,yoga retreat,public community spaces,recovery and health,recovery and health
224,-89.4108,43.05807,zoo,public community spaces,community space / recreation,community space / recreation
255,-89.41,43.06061,zoo,public community spaces,community space / recreation,community space / recreation
