name,data_type,label,value,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10
utc,numeric,UTC timestamp,UTC timestamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
subid,numeric,Subject ID number,Range 1:270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_1,numeric,What is your age (in years)?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_2,numeric,What is your sex?,NA,female,male,NA,NA,NA,NA,NA,NA,NA,NA
dem_3,numeric,What is your race?,NA,American Indian/Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Black/African American,White/Caucasian,Other/Multiracial,NA,NA,NA,NA
dem_3_1,character,"If Other/Multiracial, please specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_4,numeric,"Are you of Hispanic, Latino, or Spanish origin?",NA,"No, I am not of Hispanic, Latino, or Spanish origin","Yes, Mexican, Mexican American, Chicano","Yes, Puerto Rican","Yes, Cuban","Yes, another Hispanic, Latino, or Spanish origin",,,,,
dem_4_1,character,"If another Hispanic, Latino, or Spanish origin, please specify",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_5,numeric,What is your highest level of education completed?,NA,Less than high school or GED degree,High school or GED,Some college,2-Year degree,College degree,Advanced degree,NA,NA,NA,NA
dem_6,numeric,What is your current employment status?,NA,Employed,"Temporarily laid off, sick leave, or maternity leave",Unemployed,Retired,Disabled,Homemaker,Full-time student,"Other, not otherwise specified",NA,NA
dem_6_1,numeric,"If employed, are you....",NA,Part-time,Full-time,NA,NA,NA,NA,NA,NA,NA,NA
dem_7,numeric,Please indicate your approximate total personal gross income (prior to deducting taxes) in dollars per year. Do not include a dollar sign ($).,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_8,numeric,What is your marital status?,NA,Married,Widowed ,Divorced,Separated,Never Married,NA,NA,NA,NA,NA
dem2_2,numeric,"How many living parents do you have (include biological, adopted, or step-parents)?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem2_4,numeric,"How may deceased parents do you have (include biological, adopted, or step-parents)?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem2_6,numeric,"How many living children do you have (include biological, adopted, or step-children)?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem2_8,numeric,"How many deceased children do you have  (include biological, adopted, or step-children)?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_1,numeric,"How old were you when you first tried alcohol without your family (i.e., alone or with friends only)?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_2,numeric,At what age did you first begin drinking regularly-that is drinking at least once a week for 6 months or more?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_3,numeric,How old were you when you first believed that you had a drinking problem?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_4,numeric,How old were you when you first tried to quit drinking?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_5,numeric,How many times have you tried to quit drinking alcohol?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_6_1,numeric,Programs or treatments used in the past to help quit drinking: Long-Term Residential Treatment (more than 6 months),NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
auh_6_2,numeric,Programs or treatments used in the past to help quit drinking: Short-Term Residential Treatment (less than 6 months),NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
auh_6_3,numeric,Programs or treatments used in the past to help quit drinking: Outpatient Treatment  ,NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
auh_6_4,numeric,Programs or treatments used in the past to help quit drinking: Individual Counseling  ,NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
auh_6_5,numeric,Programs or treatments used in the past to help quit drinking: Group Counseling  ,NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
auh_6_6,numeric,Programs or treatments used in the past to help quit drinking: Alcoholics Anonymous/Narcotics Anonymous  ,NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
auh_6_7,numeric,Programs or treatments used in the past to help quit drinking: Other  ,NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
auh_6_1_2,character,Specify other program:,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_7,numeric,Have you ever taken prescribed medication to help maintain abstinence from alcohol?,,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
auh_7_1_1_med1,character,"If yes, please list the name of all prescribed medications below. - Medication 1",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_7_1_2_med2,character,"If yes, please list the name of all prescribed medications below. - Medication 2",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_7_1_3_med3,character,"If yes, please list the name of all prescribed medications below. - Medication 3",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_7_1_4_med4,character,"If yes, please list the name of all prescribed medications below. - Medication 4",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_8_month,numeric,What was the most recent date that you quit drinking alcohol? Please indicate the date after your... - Month - Please Select:,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_8_day,numeric,What was the most recent date that you quit drinking alcohol? Please indicate the date after your... - Day - Please Select:,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_8_year,numeric,What was the most recent date that you quit drinking alcohol? Please indicate the date after your... - Year - Please Select:,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_9,numeric,"In the six months prior to your most recent quit date,approximately how many days per week did you consume any alcohol?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_10,numeric,"In the six months prior to your most recent quit date,on average how many days per week did you consume 6 or more alcoholic drinks in one day?
(Note: one ""drink""=one 12 ounce beer or one 5 once glass of wine or one 1.5 ounce shot of hard liquor, straight or with mixer.)",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_11,numeric,"In the six months prior to your most recent quit date,on average how many alcoholic drinks per day did you consume on days when you drink?(Note: one ""drink""=one 12 ounce beer or one 5 once glass of wine or one 1.5 ounce shot of hard liquor, straight or with mixer.)",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_12,numeric,"In the six months when you drank at your heaviest in your life,approximately how many days per week did you consume any alcohol?",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_13,numeric,"In the six months when you drank at your heaviest in your life,on average how many days per week did you consume 6 or more alcoholic drinks in one day?
(Note: one ""drink""=one 12 ounce beer or one 5 once glass of wine or one 1.5 ounce shot of hard liquor, straight or with mixer.)",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auh_14,numeric,"In the six months when you drank at your heaviest in your life,on average how many drinks per day did you consume on days when you drink?(Note: one ""drink""=one 12 ounce beer or one 5 ounce glass of wine or one 1.5 ounce shot of hard liquor, straight or with mixer.)",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_1,numeric,I often used alcohol in large amounts over longer periods of time than I intended.,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_2,numeric,I often wanted or tried to cut down or control my alcohol use.,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_3,numeric,"I spent a lot of time either (a) using alcohol, (b) in activities trying to obtain alcohol, or (c) recovering from the effects of my drinking alcohol.",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_4,numeric,"I gave up or reduced my involvement in important social, occupational, or recreational activities because of my alcohol use.",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_5,numeric,"I continued to use alcohol despite knowing that it likely caused or made worse psychological or physical problems I had (for example, continued drinking alcohol despite knowing it was making my ulcer or depression worse).",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_6,numeric,"I found I needed greater amounts of alcohol than I used to in order to feel intoxicated or to get a desired effect, OR I got much less of an effect by using the same amount of alcohol as in the past.",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_7,numeric,"I experienced withdrawal symptoms when I tried to cut down or stop drinking alcohol, OR I drank alcohol to relieve or avoid withdrawal symptoms.",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_8,numeric,"My alcohol use resulted in my not fulfilling major obligations at work, school, or home (for example, repeated absences or poor performances at work or school; neglecting my children at home).",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_9,numeric,"I repeatedly used alcohol in situations that were physically hazardous (for example, driving a car or operating machinery).",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_10,numeric,"I have experienced strong desires, urges, or cravings to use alcohol.",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
dsm5_11,numeric,"I continued to use alcohol despite having persistent or recurrent social or interpersonal problems caused or made worse by the effects of my drinking (for example, arguments with friends about my drinking or physical fights).",NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA
yap_1,numeric,Have you driven a car when you knew you had too much to drink to drive safely?,NA,"No, never","Yes, but not in the past year",1 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,40 or more times in the past year 
yap_2,numeric,Have you had a headache (hangover) in the morning after you had been drinking?,NA,"No, never","Yes, but not in the past year",2 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,41 or more times in the past year 
yap_3,numeric,Have you felt very sick to your stomach or thrown up after drinking?,NA,"No, never","Yes, but not in the past year",3 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,42 or more times in the past year 
yap_4,numeric,"Have you showed up late for work or school because of drinking, a hangover, or an illness caused by drinking?",NA,"No, never","Yes, but not in the past year",4 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,43 or more times in the past year 
yap_5,numeric,"Have you not gone to work or missed classes at school because of drinking, a hangover, or an illness caused by drinking?",NA,"No, never","Yes, but not in the past year",5 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,44 or more times in the past year 
yap_6,numeric,Have you gotten into physical fights when drinking?,NA,"No, never","Yes, but not in the past year",6 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,45 or more times in the past year 
yap_7,numeric,Have you ever gotten into trouble at work or school because of drinking?,NA,"No, never","Yes, but not in the past year",7 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,46 or more times in the past year 
yap_8,numeric,Have you ever been fired from a job or suspended or expelled from school because of your drinking?,NA,"No, never","Yes, but not in the past year",8 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,47 or more times in the past year 
yap_9,numeric,"Have you damaged property, set off a false alarm, or other things like that after you had been drinking?",NA,"No, never","Yes, but not in the past year",9 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,48 or more times in the past year 
yap_10,numeric,"Has your boyfriend/girlfriend (or spouse), parent(s), or other near relative every complained to you about your drinking?",NA,"No, never","Yes, but not in the past year",10 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,49 or more times in the past year 
yap_11,numeric,Has your drinking ever created problems between you and your boyfriend/girlfriend (or spouse) or another relative?,NA,"No, never","Yes, but not in the past year",11 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,50 or more times in the past year 
yap_12,numeric,Have you ever lost friends (including boyfriends or girlfriends) because of your drinking?,NA,"No, never","Yes, but not in the past year",12 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,51 or more times in the past year 
yap_13,numeric,"Have you ever neglected your obligations, your family, your work, or school work for two or more days in a row because of your drinking?",NA,"No, never","Yes, but not in the past year",13 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,52 or more times in the past year 
yap_14,numeric,"Have you ever neglected your obligations, your family, your work, or school work for two or more day",NA,"No, never","Yes, but not in the past year",14 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,53 or more times in the past year 
yap_15,numeric,Have you ever received a lower grade on an exam or paper than you should have because of your drinking?,NA,"No, never","Yes, but not in the past year",15 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,54 or more times in the past year 
yap_16,numeric,"Have you ever been arrested for drunk driving, driving while intoxicated, or driving under the influence of alcohol?",NA,"No, never","Yes, but not in the past year",16 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,55 or more times in the past year 
yap_17,numeric,"Have you ever been arrested for drunk driving, driving while intoxicated, or driving under the influ",NA,"No, never","Yes, but not in the past year",17 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,56 or more times in the past year 
yap_18,numeric,Have you awakened the morning after a good bit of drinking and found that you could not remember a part of the evening before?,NA,"No, never","Yes, but not in the past year",18 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,57 or more times in the past year 
yap_19,numeric,"Have you ever had ""the shakes"" after stopping or cutting down on drinking (for example, your hands shake so that your coffee cup rattles in the saucer or you have trouble lighting a cigarette)?",NA,"No, never","Yes, but not in the past year",19 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,58 or more times in the past year 
yap_20,numeric,"Have you ever felt like you needed a drink just after you'd gotten up (that is, before breakfast)?",NA,"No, never","Yes, but not in the past year",20 time in the past year,2 times in the past year,3 times in the past year,4-6 times in the past year,7-11 times in the past year,12-20 times in the past year,21-39 times in the past year,59 or more times in the past year 
yap_21,numeric,"Have you ever found you needed larger amounts of alcohol to feel any effect, or that you could no longer get high or drunk on the amount that used to get you high or drunk?",NA,"No, never","Yes, but not in the past year","Yes, in the past year",,NA,NA,NA,NA,NA,NA
yap_22,numeric,Have you ever felt that you needed alcohol or were dependent on alcohol?,NA,"No, never","Yes, but not in the past year","Yes, in the past year",,NA,NA,NA,NA,NA,NA
yap_23,numeric,Have you ever felt guilty about your drinking?,NA,"No, never","Yes, but not in the past year","Yes, in the past year",,NA,NA,NA,NA,NA,NA
yap_24,numeric,Has a doctor ever told you that your drinking was harming your health?,NA,"No, never","Yes, but not in the past year","Yes, in the past year",,NA,NA,NA,NA,NA,NA
yap_25,numeric,Have you ever gone to anyone for help to control your drinking?,NA,"No, never","Yes, but not in the past year","Yes, in the past year",,NA,NA,NA,NA,NA,NA
yap_26,numeric,Have you ever attended a meeting of Alcoholics Anonymous because of concern about your drinking?,NA,"No, never","Yes, but not in the past year","Yes, in the past year",,NA,NA,NA,NA,NA,NA
yap_27,numeric,"Have you ever sought professional help for your drinking (for example, spoken to a physician, psychologist, psychiatrist, alcoholism counselor, clergyman about your drinking)?",NA,"No, never","Yes, but not in the past year","Yes, in the past year",,NA,NA,NA,NA,NA,NA
assist_1_1,numeric,"In your life, which of the following substances have you ever used? (Non-Medical Use Only) - Tobacco products (cigarettes, chewing tobacco, cigars, etc.)",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
assist_1_2,numeric,"In your life, which of the following substances have you ever used? (Non-Medical Use Only) - Cannabis (marijuana, pot, grass, hash, etc.)",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
assist_1_3,numeric,"In your life, which of the following substances have you ever used? (Non-Medical Use Only) - Cocaine (coke, crack, etc.)",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
assist_1_4,numeric,"In your life, which of the following substances have you ever used? (Non-Medical Use Only) - Amphetamine type stimulants (speed, diet pills, ecstasy, etc.)",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
assist_1_5,numeric,"In your life, which of the following substances have you ever used? (Non-Medical Use Only) - Inhalants (nitrous, glue, petrol, paint thinner, etc.)",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
assist_1_6,numeric,"In your life, which of the following substances have you ever used? (Non-Medical Use Only) - Sedatives or Sleeping Pills (Valium, Serepax, Rohypnol, etc.)",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
assist_1_7,numeric,"In your life, which of the following substances have you ever used? (Non-Medical Use Only) - Hallucinogens (LSD, acid, mushrooms, PCP, Special K, etc.)",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
assist_1_8,numeric,"In your life, which of the following substances have you ever used? (Non-Medical Use Only) - Opioids (heroin, morphine, methadone, codeine, etc.)",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA
assist_4_1,numeric,"During the past three months, how often has your use of any of the substances below led to health, social, legal or financial problems? - Tobacco products (cigarettes, chewing tobacco, cigars, etc.)",NA,Never,Once or Twice,Monthly,Weekly,Daily or Almost Daily ,NA,NA,NA,NA,NA
assist_4_2,numeric,"During the past three months, how often has your use of any of the substances below led to health, social, legal or financial problems? - Cannabis (marijuana, pot, grass, hash, etc.)",NA,Never,Once or Twice,Monthly,Weekly,Daily or Almost Daily ,NA,NA,NA,NA,NA
assist_4_3,numeric,"During the past three months, how often has your use of any of the substances below led to health, social, legal or financial problems? - Cocaine (coke, crack, etc.)",NA,Never,Once or Twice,Monthly,Weekly,Daily or Almost Daily ,NA,NA,NA,NA,NA
assist_4_4,numeric,"During the past three months, how often has your use of any of the substances below led to health, social, legal or financial problems? - Amphetamine type stimulants (speed, diet pills, ecstasy, etc.)",NA,Never,Once or Twice,Monthly,Weekly,Daily or Almost Daily ,NA,NA,NA,NA,NA
assist_4_5,numeric,"During the past three months, how often has your use of any of the substances below led to health, social, legal or financial problems? - Inhalants (nitrous, glue, petrol, paint thinner, etc.)",NA,Never,Once or Twice,Monthly,Weekly,Daily or Almost Daily ,NA,NA,NA,NA,NA
assist_4_6,numeric,"During the past three months, how often has your use of any of the substances below led to health, social, legal or financial problems? - Sedatives or Sleeping Pills (Valium, Serepax, Rohypnol, etc.)",NA,Never,Once or Twice,Monthly,Weekly,Daily or Almost Daily ,NA,NA,NA,NA,NA
assist_4_7,numeric,"During the past three months, how often has your use of any of the substances below led to health, social, legal or financial problems? - Hallucinogens (LSD, acid, mushrooms, PCP, Special K, etc.)",NA,Never,Once or Twice,Monthly,Weekly,Daily or Almost Daily ,NA,NA,NA,NA,NA
assist_4_8,numeric,"During the past three months, how often has your use of any of the substances below led to health, social, legal or financial problems? - Opioids (heroin, morphine, methadone, codeine, etc.)",NA,Never,Once or Twice,Monthly,Weekly,Daily or Almost Daily ,NA,NA,NA,NA,NA
assist_5_1,numeric,"During the past three months, how often have you failed to do what was normally expected of you because of your use of any of the substances below? - Tobacco products (cigarettes, chewing tobacco, cigars, etc.)",NA,Never,Once or Twice,Monthly,Weekly,Daily or Almost Daily ,NA,NA,NA,NA,NA
