var_name,var_class,var_stem,var_valid_min,var_valid_max,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,notes
response_id,text,Qualtrics generated response id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
subid,numeric,What is the participant's subid?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
start_date,date,Qualtrics generated start date and time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
end_date,date,Qualtrics generated end date and time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_4,text,What time did the participant arrive?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
referral_source,numeric,"Before I begin describing the study, can you please tell me how you heard about the study? ",NA,NA,NA,Television,Facebook,Word of Mouth,Email,AA,Clinic,other,NA,NA,NA,NA,NA,only session form version 3 asked this question
referral_source_text,text,clinic or other specification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question; show if other or clinic selected
sfsr_5,numeric,Did participant sign study consent form?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_6,numeric,Why did the participant not sign the consent form?,NA,NA,NA,Participant is no longer interested in the study,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_6_text,text,Please explain why the participant did not sign the consent form.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question; show if other selected in consent_1
sfsr_7,numeric,Did the participant complete the W-9 form?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_8,numeric,Why was the W-9 form not completed? ,NA,NA,NA,RA forgot to ask participant to complete form.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_8_text,text,Please explain why the W-9 form was not completed.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question; showed if selected other in w9_1
sfsr_9,numeric,Will participant continue with study today? ,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
q103,character,Did participant give permission for study staff to leave messages regarding their study participation on their cell phone? ,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
q105,text,Please explain why the participant did not give permission to leave messages regarding their study participation on their cell phone.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question; show if no selected in permission_messages
sfsr_34,character,Did participant complete feedback form?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_35,text,Please explain below why feedback from was not completed. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_36,character,Payment for today's session,NA,NA,NA,Ineligible Participant-Paid Now,Eligible Participant-Pay at Intake,Unsure about Eligibility Status-Pay at intake/Mail payment if ineligible,other,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_38,text,What time did the participant depart from the lab?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_39,character,Did participant complete the screening session?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_40,text,Why was the session incomplete?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_41,text,Please note any additional issues or concerns below. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_10_1_1,numeric,Enter participant's sobriety date - month,1,12,NA,January,February,March,April,May,June,July,August,September,October,November,December,NA
sfsr_10_2_1,numeric,Enter participant's sobriety date - day,1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_10_3_1,numeric,Enter participant's sobriety date - year,2016,2021,NA,2016,2017,2018,2019,2020,2021,NA,NA,NA,NA,NA,NA,NA
sfsr_11,character,How many weeks has the participant gone without alcohol?,NA,NA,NA,Under 1 Week-Session must be rescheduled,Between 1 and 8 Weeks-Continue with session,Over 8 Weeks-Consult with Candace/Susan/John before continuing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_12,character,Who did you consult with? ,NA,NA,NA,Candace,John,Susan,other,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_13,character,"After consultation re: participant over 8 weeks sober, it was determined that participant can...",NA,NA,NA,continue with session,discontinue session - participant no longer eligible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sobr_check,character,Has it been less than 7 days since their last drink?,NA,NA,NA,no,yes,2,0,KW,Inconsistent Qualtrics coding; changing 2-1 to 0-1 for no-yes response options; codebook reflects 0-1 coding scheme,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
sfsr_14,character,Did participant complete the ID Screen Battery?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_15,text,Please explain below if the ID screen battery was not completed.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_16,character,Is participant eligible to continue study participation?,NA,NA,NA,no,yes,Consult with study staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_17,character,Who did you speak with to resolve your question regarding participant's eligibility?,NA,NA,NA,Candace,John,Susan,other,NA,NA,NA,NA,NA,NA,NA,NA,NA
q58_text,text,please specify:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question; show if other selected in consult_eligibility
sfsr_18,character,Continue with the session?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_19,character,Check participant's ineligibility reason below.,NA,NA,NA,Does not meet criteria for moderate-severe alcohol use disorder,Participant has moderate-severe symptoms of psychosis,Participant has moderate-severe symptoms of paranoia,other,NA,NA,NA,NA,NA,NA,NA,NA,NA
q62_text,text,Please specify:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question; show if other selected for ineligibility_reason
sfsr_26,character,Was participant given location and contact logs?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_27,text,"If participant was not given location and contact logs, please explain below. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_28,character,Was an intake appointment scheduled with the participant?Â ,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_28_text,text,enter date of scheduled intake appointment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_29,text,Insert time of scheduled appointment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_30,text,Please explain below why intake visit was not scheduled.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
q108,text,Participant Phone Model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
q109,text,Participant Provider? Government Issued Phone? Data plan?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
q110,character,WiFi at Home?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
q76_1,character,feasibility assessment,NA,NA,NA,No concerns - Continue with Session,Consult with Candace/John/Susan,Major Concerns - Discontinue Session,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
q99,character,Who did you consult with?,NA,NA,NA,Candace,John,Susan,other,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
sfsr_20,character,Does participant have a cell phone number that they plan to port?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
sfsr_21,text,Please explain below if participant does not plan to port his/her phone. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
sfsr_22,character,Did participant complete a port request form?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
sfsr_23,text,Please explain below if participant did not complete a port request form. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
sfsr_24,character,Did the participant sign the phone transfer conditions form? ,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
sfsr_25,text,If the phone transfer conditions form wasn't completed please explain reason below. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question